tpm,cultivar
10.481036,KLS 116-1
11.637065,KLS 116-1
14.488467000000002,KLS 116-1
8.392479,Sochung2
11.74013,Sochung2
5.239667,Sochung2
8.483518,Kangwon sujib2-33
8.825598,Kangwon sujib2-33
14.377901999999999,Kangwon sujib2-33
5.718241,Kyoungbuk Kyoungsan-1997-54
11.928672,Kyoungbuk Kyoungsan-1997-54
12.8929,Kyoungbuk Kyoungsan-1997-54
7.65079,Ilpumgeomjeong
7.0018720000000005,Ilpumgeomjeong
10.086474,Ilpumgeomjeong
12.922452,IT112859
9.624597,IT112859
13.01765,IT112859
9.093092,Geomeunbak
9.459383,Geomeunbak
10.693209,Geomeunbak
10.354934,Dongsan133
10.235097,Dongsan133
13.422531,Dongsan133
11.033783999999999,KLS88066
15.166839000000001,KLS88066
13.846535000000001,KLS88066
20.109302,KAS590-6
10.834178999999999,KAS590-6
11.437289999999999,KAS590-6
16.006883,KAS210-22
12.73654,KAS210-22
9.868447,KAS210-22
14.791123,PI 227159
14.128839000000001,PI 227159
15.214334,PI 227159
12.284191,YB316-3
9.968233999999999,YB316-3
12.255371,YB316-3
12.320584,IT177388
11.194911,IT177388
13.489385999999998,IT177388
20.959132,KLS123-1
20.310398,KLS123-1
12.081362,KLS123-1
11.422392,Heugcheong
10.310085,Heugcheong
19.343497,Heugcheong
14.140516,PI 96983
14.918973999999999,PI 96983
12.46194,PI 96983
10.382478,SLSB397-1
11.310818,SLSB397-1
8.497535000000001,SLSB397-1
11.472578,PI 399122
8.777163,PI 399122
10.350263,PI 399122
13.180871,Chungja
13.960154000000001,Chungja
9.139151,Chungja
16.2624,Cheongja3
15.656488000000001,Cheongja3
12.594955,Cheongja3
16.605635,SS0404-T5-76
14.476435999999998,SS0404-T5-76
19.133561,SS0404-T5-76
11.023292999999999,KAS660-21
10.050285,KAS660-21
12.399911,KAS660-21
10.497950999999999,KAS505-1
8.104008,KAS505-1
12.024595,KAS505-1
11.069230000000001,IT178024
10.708167,IT178024
3.6669669999999996,IT178024
14.548514,IT104334
14.959112,IT104334
13.683883999999999,IT104334
12.096364999999999,YN154
15.368001000000001,YN154
9.937321,YN154
19.432173000000002,KAS660-12
19.965956,KAS660-12
13.265444,KAS660-12
25.477363,Pureun
22.75055,Pureun
17.498123,Pureun
16.784295999999998,Milyang12
10.702831,Milyang12
13.315387,Milyang12
6.249651,Williams 82K
10.582135000000001,Williams 82K
11.967754,Williams 82K
13.453175,Daepung
12.936938,Daepung
12.154813,Daepung
16.278969,Taekwang
15.418973999999999,Taekwang
14.922735999999999,Taekwang
13.735382999999999,Heuin
13.202101,Heuin
13.816432999999998,Heuin
14.254689,Hwangkeum
21.350439,Hwangkeum
13.543635,Hwangkeum
16.465398,Wooram
16.544069,Wooram
12.902633999999999,Wooram
13.975985999999999,Yonpoong
11.454535,Yonpoong
10.892045,Yonpoong
11.259657,Haman
20.895670000000003,Haman
13.433748000000001,Haman
12.990732000000001,L62-667
10.828363000000001,L62-667
11.864168,L62-667
19.543657,Daeyang
10.924055000000001,Daeyang
13.019219999999999,Daeyang
9.9237,PI 88820
11.678399,PI 88820
10.340632000000001,PI 88820
15.136622000000001,Pungwon
23.253803,Pungwon
19.223164,Pungwon
11.771446000000001,Somyung
10.690028,Somyung
7.490539,Somyung
12.678913,Bangsa
11.104149000000001,Bangsa
11.278083,Bangsa
11.891834,Danbaek
4.612925,Danbaek
11.573653,Danbaek
5.938753,Shinhwa
6.08352,Shinhwa
16.155673999999998,Shinhwa
11.255245,KLS86083
10.40108,KLS86083
9.793513,KLS86083
17.211471,PI 60269-2
16.094767,PI 60269-2
17.479366,PI 60269-2
17.771224,PI 84644
26.154035,PI 84644
30.678651000000002,PI 84644
